Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Bennett, Darren",1991,R1,melbourne,WC,3.0,3.0,0.0,0.0,1.0,0.0,,0.0,,,2.0,,,,0.0,0.0,,,,,,,,0.0
"Beveridge, Luke",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Bryce, Paul",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Campbell, Tony",1991,R1,melbourne,WC,11.0,7.0,4.0,0.0,0.0,3.0,,0.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Clark, Steven",1991,R1,melbourne,WC,16.0,10.0,6.0,0.0,1.0,0.0,,0.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Cuthbertson, Darren",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Dyson, Kevin",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Egan, Phil",1991,R1,melbourne,WC,4.0,3.0,1.0,0.0,0.0,2.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
"Eishold, Simon",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Febey, Steven",1991,R1,melbourne,WC,19.0,14.0,5.0,0.0,0.0,5.0,,1.0,,,0.0,,,,2.0,2.0,,,,,,,,0.0
"Flintoff, David",1991,R1,melbourne,WC,26.0,22.0,4.0,0.0,0.0,5.0,,1.0,,,0.0,,,,4.0,0.0,,,,,,,,0.0
"Ford, Andrew",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Francis, Fabian",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Grinter, Rod",1991,R1,melbourne,WC,10.0,8.0,2.0,0.0,0.0,1.0,,3.0,,,0.0,,,,3.0,3.0,,,,,,,,0.0
"Healy, Greg",1991,R1,melbourne,WC,19.0,15.0,4.0,0.0,0.0,1.0,,0.0,,,0.0,,,,4.0,3.0,,,,,,,,0.0
"Heaver, Brent",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Howat, John",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Ricky",1991,R1,melbourne,WC,7.0,6.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Jakovich, Allen",1991,R1,melbourne,WC,6.0,5.0,1.0,0.0,0.0,2.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
"Keogh, Rod",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Lovell, Andy",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Lovett, Brett",1991,R1,melbourne,WC,16.0,11.0,5.0,0.0,0.0,2.0,,0.0,,,0.0,,,,3.0,1.0,,,,,,,,0.0
"Lovett, Glenn",1991,R1,melbourne,WC,26.0,18.0,8.0,1.0,1.0,6.0,,1.0,,,1.0,,,,3.0,1.0,,,,,,,,0.0
"Lyon, Garry",1991,R1,melbourne,WC,25.0,17.0,8.0,1.0,0.0,2.0,,1.0,,,0.0,,,,3.0,3.0,,,,,,,,0.0
"ODwyer, Steven",1991,R1,melbourne,WC,17.0,8.0,9.0,0.0,0.0,11.0,,0.0,,,25.0,,,,0.0,2.0,,,,,,,,0.0
"Obst, Andrew",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Owen, Rod",1991,R1,melbourne,WC,14.0,8.0,6.0,0.0,1.0,0.0,,1.0,,,0.0,,,,2.0,2.0,,,,,,,,0.0
"Rohde, Peter",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Schwarz, David",1991,R1,melbourne,WC,4.0,3.0,1.0,0.0,1.0,1.0,,0.0,,,1.0,,,,0.0,2.0,,,,,,,,0.0
"Spalding, Earl",1991,R1,melbourne,WC,18.0,11.0,7.0,0.0,0.0,12.0,,0.0,,,1.0,,,,1.0,1.0,,,,,,,,0.0
"Spencer, Trevor",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Stretch, Steven",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Stynes, Jim",1991,R1,melbourne,WC,9.0,5.0,4.0,0.0,0.0,0.0,,1.0,,,4.0,,,,1.0,0.0,,,,,,,,0.0
"Tingay, Stephen",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Viney, Jay",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Viney, Todd",1991,R1,melbourne,WC,23.0,17.0,6.0,0.0,0.0,4.0,,0.0,,,0.0,,,,1.0,2.0,,,,,,,,0.0
"Wight, Sean",1991,R1,melbourne,WC,17.0,15.0,2.0,0.0,0.0,0.0,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,0.0
"Yeats, Graeme",1991,R1,melbourne,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, Darren",1991,R2,melbourne,FI,16.0,12.0,4.0,8.0,4.0,10.0,,0.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
"Beveridge, Luke",1991,R2,melbourne,FI,18.0,12.0,6.0,3.0,1.0,2.0,,3.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Bryce, Paul",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Campbell, Tony",1991,R2,melbourne,FI,13.0,10.0,3.0,0.0,0.0,3.0,,0.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Clark, Steven",1991,R2,melbourne,FI,10.0,7.0,3.0,0.0,0.0,2.0,,2.0,,,0.0,,,,1.0,2.0,,,,,,,,0.0
"Cuthbertson, Darren",1991,R2,melbourne,FI,15.0,14.0,1.0,2.0,3.0,3.0,,2.0,,,0.0,,,,2.0,3.0,,,,,,,,0.0
"Dyson, Kevin",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Egan, Phil",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Eishold, Simon",1991,R2,melbourne,FI,15.0,11.0,4.0,2.0,0.0,3.0,,0.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Febey, Steven",1991,R2,melbourne,FI,13.0,10.0,3.0,0.0,0.0,4.0,,3.0,,,0.0,,,,0.0,1.0,,,,,,,,0.0
"Flintoff, David",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Ford, Andrew",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Francis, Fabian",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Grinter, Rod",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Healy, Greg",1991,R2,melbourne,FI,30.0,24.0,6.0,3.0,4.0,5.0,,0.0,,,0.0,,,,3.0,0.0,,,,,,,,0.0
"Heaver, Brent",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Howat, John",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Ricky",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Jakovich, Allen",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Keogh, Rod",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Lovell, Andy",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Lovett, Brett",1991,R2,melbourne,FI,19.0,14.0,5.0,0.0,0.0,6.0,,1.0,,,0.0,,,,2.0,0.0,,,,,,,,0.0
"Lovett, Glenn",1991,R2,melbourne,FI,19.0,13.0,6.0,0.0,0.0,6.0,,3.0,,,0.0,,,,1.0,0.0,,,,,,,,2.0
"Lyon, Garry",1991,R2,melbourne,FI,17.0,6.0,11.0,0.0,0.0,2.0,,1.0,,,0.0,,,,0.0,2.0,,,,,,,,0.0
"ODwyer, Steven",1991,R2,melbourne,FI,9.0,7.0,2.0,4.0,0.0,4.0,,1.0,,,8.0,,,,2.0,1.0,,,,,,,,0.0
"Obst, Andrew",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Owen, Rod",1991,R2,melbourne,FI,23.0,14.0,9.0,2.0,0.0,6.0,,2.0,,,0.0,,,,2.0,3.0,,,,,,,,0.0
"Rohde, Peter",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Schwarz, David",1991,R2,melbourne,FI,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
"Spalding, Earl",1991,R2,melbourne,FI,15.0,10.0,5.0,0.0,1.0,4.0,,1.0,,,1.0,,,,3.0,2.0,,,,,,,,0.0
"Spencer, Trevor",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Stretch, Steven",1991,R2,melbourne,FI,17.0,12.0,5.0,0.0,0.0,2.0,,0.0,,,0.0,,,,0.0,2.0,,,,,,,,0.0
"Stynes, Jim",1991,R2,melbourne,FI,25.0,17.0,8.0,2.0,2.0,14.0,,2.0,,,11.0,,,,1.0,2.0,,,,,,,,3.0
"Tingay, Stephen",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Viney, Jay",1991,R2,melbourne,FI,,,,,,,,,,,,,,,,,,,,,,,,
"Viney, Todd",1991,R2,melbourne,FI,20.0,16.0,4.0,1.0,0.0,6.0,,0.0,,,0.0,,,,1.0,3.0,,,,,,,,1.0
"Wight, Sean",1991,R2,melbourne,FI,18.0,14.0,4.0,0.0,2.0,3.0,,0.0,,,0.0,,,,2.0,0.0,,,,,,,,0.0
"Yeats, Graeme",1991,R2,melbourne,FI,8.0,6.0,2.0,0.0,0.0,0.0,,2.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Bennett, Darren",1991,R3,melbourne,SK,9.0,8.0,1.0,6.0,0.0,6.0,,0.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Beveridge, Luke",1991,R3,melbourne,SK,15.0,9.0,6.0,2.0,0.0,1.0,,4.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Bryce, Paul",1991,R3,melbourne,SK,17.0,11.0,6.0,0.0,0.0,7.0,,0.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Campbell, Tony",1991,R3,melbourne,SK,20.0,17.0,3.0,0.0,1.0,4.0,,0.0,,,0.0,,,,3.0,0.0,,,,,,,,0.0
"Clark, Steven",1991,R3,melbourne,SK,9.0,7.0,2.0,0.0,0.0,1.0,,1.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Cuthbertson, Darren",1991,R3,melbourne,SK,21.0,18.0,3.0,2.0,1.0,5.0,,3.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Dyson, Kevin",1991,R3,melbourne,SK,16.0,9.0,7.0,2.0,0.0,3.0,,0.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
"Egan, Phil",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Eishold, Simon",1991,R3,melbourne,SK,14.0,8.0,6.0,2.0,1.0,4.0,,1.0,,,0.0,,,,0.0,4.0,,,,,,,,0.0
"Febey, Steven",1991,R3,melbourne,SK,24.0,20.0,4.0,0.0,3.0,5.0,,2.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
"Flintoff, David",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Ford, Andrew",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Francis, Fabian",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Grinter, Rod",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Healy, Greg",1991,R3,melbourne,SK,10.0,8.0,2.0,1.0,3.0,3.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
"Heaver, Brent",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Howat, John",1991,R3,melbourne,SK,,,,,,,,,,,,,,,,,,,,,,,,
